realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32808638,1434,original, ,40 948,745,NO,NO
32808611,1436,original, ,20 950,599,NO,NO
32799532,1434,copy,32706221,63 802,1170,NO,NO
32808527,1434,copy,32808230,77 991,1595,NO,NO
32808363,1434,copy,32808230,77 991,1591,NO,NO
32808347,1436,original, ,33 329,795,NO,NO
32801561,1434,original, ,24 283,331,NO,NO
32801416,1434,copy,32761870,119 034,1892,NO,NO
32808315,1434,original, ,58 088,668,NO,NO
32801245,1434,copy,31978249,35 234,579,NO,NO
32808255,1434,original, ,39 994,816,NO,NO
32808230,1434,original, ,77 991,1591,NO,YES
32402328,1434,original, ,113 320,2179,NO,YES
32798974,1434,copy,32798758,39 995,785,YES,NO
32798504,1434,original, ,45 709,845,NO,NO
32703852,1434,copy,32597433,66 659,1212,NO,YES
32807955,1434,original, ,30 473,476,NO,NO
32807912,1434,copy,32689212,39 995,909,NO,NO
32807920,1434,copy,32801561,21 426,292,NO,NO
32681492,1434,copy,32568971,140 936,1343,NO,NO
32773106,1434,original, ,138 079,2510,NO,NO
32807846,1434,original, ,90 466,823,NO,NO
32775974,1436,original, ,119 034,1686,NO,NO
32807827,1434,original, ,80 943,1140,NO,NO
32807785,1434,copy,24227246,18 093,1065,NO,NO
32807807,1434,original, ,71 420,1013,NO,NO
32807792,1434,original, ,90 466,1006,NO,NO
32789067,1434,copy,32775205,66 659,1093,NO,NO
32807758,1434,original, ,85 704,1428,NO,NO
32807710,1434,original, ,59 041,1041,NO,NO
32807492,1436,original, ,44 281,993,NO,NO
32807700,1434,original, ,76 182,1190,NO,NO
32238987,1436,original, ,49 518,755,NO,NO
22395060,1506,original, ,68 087,1047,YES,NO
22395065,1506,original, ,84 990,1000,YES,NO
22395067,1506,original, ,97 989,1000,YES,NO
22395062,1506,original, ,80 657,1047,YES,NO
22395059,1506,original, ,64 945,1047,YES,NO
22395064,1506,original, ,81 705,1047,YES,NO
22395066,1506,original, ,85 990,1000,YES,NO
22395052,1506,original, ,50 375,1095,YES,NO
22395051,1506,original, ,47 566,1057,YES,NO
22395057,1506,original, ,66 221,1086,YES,NO
22395058,1506,original, ,65 535,1057,YES,NO
22395048,1506,original, ,43 804,1095,YES,NO
22395053,1506,original, ,53 327,1067,YES,NO
22395049,1506,original, ,44 395,1057,YES,NO
32806171,1434,copy,30288781,38 091,595,NO,NO
32807459,1434,original, ,17 617,801,NO,NO
32807193,1434,copy,31094258,29 520,454,NO,NO
32766510,1434,original, ,23 807,421,NO,NO
32807117,1434,original, ,27 140,617,NO,NO
31833080,1434,original, ,35 710,567,NO,NO
32574043,1434,original, ,71 420,1458,NO,NO
32806851,1434,copy,26585402,73 325,1063,NO,NO
32806839,1434,original, ,29 520,738,NO,NO
32806732,1434,original, ,85 704,1383,NO,NO
32591115,1434,original, ,29 044,937,NO,NO
32591075,1434,original, ,29 997,714,NO,NO
32798736,1434,copy,32798758,39 995,785,NO,NO
32798904,1434,copy,32798758,39 995,785,NO,NO
32798751,1434,copy,32798758,39 995,785,NO,NO
32798758,1434,original, ,39 995,785,NO,NO
32798957,1434,copy,32798758,39 995,785,NO,NO
32806580,1434,copy,32516726,87 609,1436,NO,YES
32789688,1436,original, ,42 852,727,NO,NO
32806503,1434,copy,32307575,109 511,1560,NO,NO
32785229,1434,copy,32781644,40 948,745,NO,NO
32806468,1434,original, ,63 802,938,NO,NO
32806233,1434,original, ,90 466,1507,NO,NO
32806246,1434,copy,32805531,22 378,497,YES,NO
32806245,1434,original, ,95 227,1380,NO,YES
32783969,1434,original, ,38 091,762,YES,NO
32805190,1434,original, ,48 566,908,NO,NO
32798370,1434,copy,32790928,99 988,1286,NO,NO
32805894,1434,original, ,68 563,1269,NO,NO
32795561,1434,copy,32446082,41 900,566,NO,NO
32721189,1434,original, ,32 377,715,NO,NO
32795177,1434,copy,32752694,22 854,685,NO,NO
32796063,1434,original, ,47 614,724,NO,NO
32805739,1434,original, ,82 847,1381,NO,NO
32795823,1434,copy,32794733,34 282,591,NO,NO
32795942,1434,copy,32790928,99 988,1286,NO,NO
32795663,1434,copy,32706221,64 754,1188,NO,NO
32795732,1434,original, ,47 614,882,NO,NO
32798205,1434,copy,32763422,36 186,566,NO,YES
32795566,1434,copy,32315656,23 807,487,NO,NO
32757516,1434,copy,32295142,79 991,1212,NO,NO
